history_bucket,amount_bucket,failure_bucket,action,action_count,effective_sample_size,observed_recovery_rate,supported
lower_history,amount_q1,failures_0,escalate_to_merchant,237,33.53941007,0.34599156,True
lower_history,amount_q1,failures_0,payment_link,9,9.0,0.44444444,False
lower_history,amount_q1,failures_0,retry_payment,126,18.74890631,0.5952381,True
lower_history,amount_q1,failures_0,whatsapp_reminder,73,15.08078281,0.60273973,True
lower_history,amount_q1,failures_1,escalate_to_merchant,93,13.89845234,0.30107527,True
lower_history,amount_q1,failures_1,payment_link,1,1.0,1.0,False
lower_history,amount_q1,failures_1,retry_payment,60,8.27440554,0.65,True
lower_history,amount_q1,failures_1,whatsapp_reminder,46,6.69767366,0.52173913,False
lower_history,amount_q1,failures_2_plus,escalate_to_merchant,2,1.0739726,0.5,False
lower_history,amount_q1,failures_2_plus,retry_payment,3,3.0,0.66666667,False
lower_history,amount_q1,failures_2_plus,whatsapp_reminder,19,19.0,0.47368421,False
lower_history,amount_q2,failures_0,escalate_to_merchant,211,29.09046962,0.37440758,True
lower_history,amount_q2,failures_0,payment_link,17,16.07278182,0.64705882,False
lower_history,amount_q2,failures_0,retry_payment,172,27.72056966,0.59883721,True
lower_history,amount_q2,failures_0,whatsapp_reminder,66,18.92736169,0.71212121,True
lower_history,amount_q2,failures_1,escalate_to_merchant,88,12.6942991,0.21590909,True
lower_history,amount_q2,failures_1,payment_link,6,6.0,0.33333333,False
lower_history,amount_q2,failures_1,retry_payment,49,7.90577463,0.6122449,False
lower_history,amount_q2,failures_1,whatsapp_reminder,63,11.63500628,0.42857143,True
lower_history,amount_q2,failures_2_plus,escalate_to_merchant,2,2.0,0.5,False
lower_history,amount_q2,failures_2_plus,retry_payment,6,6.0,0.83333333,False
lower_history,amount_q2,failures_2_plus,whatsapp_reminder,10,10.0,0.9,False
lower_history,amount_q3,failures_0,escalate_to_merchant,213,29.38877094,0.35680751,True
lower_history,amount_q3,failures_0,payment_link,55,23.54174517,0.54545455,True
lower_history,amount_q3,failures_0,retry_payment,134,25.67475706,0.62686567,True
lower_history,amount_q3,failures_0,whatsapp_reminder,69,17.37637634,0.62318841,True
lower_history,amount_q3,failures_1,escalate_to_merchant,72,12.00499847,0.29166667,True
lower_history,amount_q3,failures_1,payment_link,23,5.49540018,0.52173913,False
lower_history,amount_q3,failures_1,retry_payment,73,10.21909638,0.50684932,True
lower_history,amount_q3,failures_1,whatsapp_reminder,54,8.41672235,0.57407407,True
lower_history,amount_q3,failures_2_plus,escalate_to_merchant,2,1.0739726,0.5,False
lower_history,amount_q3,failures_2_plus,payment_link,1,1.0,1.0,False
lower_history,amount_q3,failures_2_plus,retry_payment,4,1.22950817,0.0,False
lower_history,amount_q3,failures_2_plus,whatsapp_reminder,25,25.0,0.64,True
lower_history,amount_q4,failures_0,escalate_to_merchant,65,18.84615345,0.29230769,True
lower_history,amount_q4,failures_0,payment_link,218,30.47265689,0.58256881,True
lower_history,amount_q4,failures_0,retry_payment,129,19.07760664,0.54263566,True
lower_history,amount_q4,failures_0,whatsapp_reminder,34,21.95535821,0.52941176,True
lower_history,amount_q4,failures_1,escalate_to_merchant,43,10.73819641,0.23255814,True
lower_history,amount_q4,failures_1,payment_link,90,12.53697431,0.53333333,True
lower_history,amount_q4,failures_1,retry_payment,59,8.94277964,0.66101695,True
lower_history,amount_q4,failures_1,whatsapp_reminder,19,4.27099396,0.52631579,False
lower_history,amount_q4,failures_2_plus,escalate_to_merchant,2,1.0739726,0.0,False
lower_history,amount_q4,failures_2_plus,payment_link,6,6.0,0.5,False
lower_history,amount_q4,failures_2_plus,retry_payment,4,1.22950817,0.75,False
lower_history,amount_q4,failures_2_plus,whatsapp_reminder,7,7.0,0.42857143,False
no_history,amount_q1,failures_0,escalate_to_merchant,118,118.0,0.07627119,True
no_history,amount_q1,failures_0,payment_link,5,5.0,0.0,False
no_history,amount_q1,failures_0,retry_payment,5,5.0,0.0,False
no_history,amount_q1,failures_0,whatsapp_reminder,4,4.0,0.0,False
no_history,amount_q2,failures_0,escalate_to_merchant,105,105.0,0.07619048,True
no_history,amount_q2,failures_0,payment_link,2,2.0,0.0,False
no_history,amount_q2,failures_0,retry_payment,4,4.0,0.0,False
no_history,amount_q2,failures_0,whatsapp_reminder,3,3.0,0.0,False
no_history,amount_q3,failures_0,escalate_to_merchant,89,89.0,0.07865169,True
no_history,amount_q3,failures_0,payment_link,4,4.0,0.25,False
no_history,amount_q3,failures_0,retry_payment,9,9.0,0.33333333,False
no_history,amount_q3,failures_0,whatsapp_reminder,2,2.0,0.5,False
no_history,amount_q4,failures_0,escalate_to_merchant,95,95.0,0.03157895,True
no_history,amount_q4,failures_0,payment_link,2,2.0,0.0,False
no_history,amount_q4,failures_0,retry_payment,2,2.0,0.0,False
no_history,amount_q4,failures_0,whatsapp_reminder,3,3.0,0.33333333,False
perfect_history,amount_q1,failures_0,escalate_to_merchant,685,101.1676816,0.40437956,True
perfect_history,amount_q1,failures_0,payment_link,55,50.36414754,0.67272727,True
perfect_history,amount_q1,failures_0,retry_payment,382,61.49646714,0.61780105,True
perfect_history,amount_q1,failures_0,whatsapp_reminder,122,42.51287438,0.7295082,True
perfect_history,amount_q2,failures_0,escalate_to_merchant,694,97.85794,0.40057637,True
perfect_history,amount_q2,failures_0,payment_link,85,37.80492775,0.65882353,True
perfect_history,amount_q2,failures_0,retry_payment,359,56.24386377,0.59052925,True
perfect_history,amount_q2,failures_0,whatsapp_reminder,126,41.91580028,0.63492063,True
perfect_history,amount_q3,failures_0,escalate_to_merchant,512,71.09486331,0.36914062,True
perfect_history,amount_q3,failures_0,payment_link,241,49.77543607,0.66390041,True
perfect_history,amount_q3,failures_0,retry_payment,362,56.55389812,0.62430939,True
perfect_history,amount_q3,failures_0,whatsapp_reminder,96,34.06733257,0.69791667,True
perfect_history,amount_q4,failures_0,escalate_to_merchant,196,56.61961283,0.35204082,True
perfect_history,amount_q4,failures_0,payment_link,625,91.91881191,0.656,True
perfect_history,amount_q4,failures_0,retry_payment,387,66.60326136,0.61757106,True
perfect_history,amount_q4,failures_0,whatsapp_reminder,50,36.09870729,0.66,True
upper_imperfect_history,amount_q1,failures_0,escalate_to_merchant,8,8.0,0.75,False
upper_imperfect_history,amount_q1,failures_0,payment_link,3,3.0,1.0,False
upper_imperfect_history,amount_q1,failures_0,retry_payment,58,8.97709815,0.53448276,True
upper_imperfect_history,amount_q1,failures_0,whatsapp_reminder,24,3.90270249,0.83333333,False
upper_imperfect_history,amount_q1,failures_1,escalate_to_merchant,1,1.0,0.0,False
upper_imperfect_history,amount_q1,failures_1,payment_link,2,2.0,0.5,False
upper_imperfect_history,amount_q1,failures_1,retry_payment,19,3.41762696,0.57894737,False
upper_imperfect_history,amount_q1,failures_1,whatsapp_reminder,6,6.0,0.5,False
upper_imperfect_history,amount_q2,failures_0,escalate_to_merchant,12,3.68852452,0.41666667,False
upper_imperfect_history,amount_q2,failures_0,payment_link,2,2.0,0.5,False
upper_imperfect_history,amount_q2,failures_0,retry_payment,47,47.0,0.63829787,True
upper_imperfect_history,amount_q2,failures_0,whatsapp_reminder,21,3.60798899,0.66666667,False
upper_imperfect_history,amount_q2,failures_1,escalate_to_merchant,3,2.0733379,0.33333333,False
upper_imperfect_history,amount_q2,failures_1,retry_payment,6,6.0,0.5,False
upper_imperfect_history,amount_q2,failures_1,whatsapp_reminder,6,6.0,0.66666667,False
upper_imperfect_history,amount_q2,failures_2_plus,retry_payment,1,1.0,0.0,False
upper_imperfect_history,amount_q3,failures_0,escalate_to_merchant,11,2.7055214,0.54545455,False
upper_imperfect_history,amount_q3,failures_0,payment_link,8,4.29589038,0.75,False
upper_imperfect_history,amount_q3,failures_0,retry_payment,49,7.2393814,0.69387755,False
upper_imperfect_history,amount_q3,failures_0,whatsapp_reminder,23,3.80324523,0.73913043,False
upper_imperfect_history,amount_q3,failures_1,payment_link,1,1.0,1.0,False
upper_imperfect_history,amount_q3,failures_1,retry_payment,18,18.0,0.61111111,False
upper_imperfect_history,amount_q3,failures_1,whatsapp_reminder,7,3.29758098,0.71428571,False
upper_imperfect_history,amount_q4,failures_0,escalate_to_merchant,12,7.36805008,0.25,False
upper_imperfect_history,amount_q4,failures_0,payment_link,25,3.45418296,0.64,False
upper_imperfect_history,amount_q4,failures_0,retry_payment,58,8.97709815,0.5862069,True
upper_imperfect_history,amount_q4,failures_0,whatsapp_reminder,10,3.5296262,0.8,False
upper_imperfect_history,amount_q4,failures_1,escalate_to_merchant,1,1.0,0.0,False
upper_imperfect_history,amount_q4,failures_1,payment_link,6,1.39509533,0.66666667,False
upper_imperfect_history,amount_q4,failures_1,retry_payment,11,11.0,0.72727273,False
upper_imperfect_history,amount_q4,failures_1,whatsapp_reminder,2,2.0,0.5,False
upper_imperfect_history,amount_q4,failures_2_plus,retry_payment,1,1.0,1.0,False
