payment_id,raw_failure_reason,taxonomy,feature_support_score,compatibility_allowed,v1_pre_gate_action,v2_pre_gate_action,v1_post_gate_action,v2_post_gate_action,post_gate_agreement,v1_probability_margin,v2_probability_margin,v2_expected_value_margin_inr,v2_margin_fallback_triggered,v1_probabilities,v2_probabilities,executed
pay_TTzN0OLZSPkJlw,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.01128717,0.01003319,,False,"{""escalate_to_merchant"": 0.12145425379276276, ""payment_link"": 0.20210981369018555, ""retry_payment"": 0.19625386595726013, ""whatsapp_reminder"": 0.21339698135852814}","{""escalate_to_merchant"": 0.13753612339496613, ""payment_link"": 0.22134488821029663, ""retry_payment"": 0.22773377597332, ""whatsapp_reminder"": 0.23776696622371674}",False
pay_TTzoCdx337ZJ6c,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.01491953,0.01323463,,False,"{""escalate_to_merchant"": 0.12447820603847504, ""payment_link"": 0.16191382706165314, ""retry_payment"": 0.1635330617427826, ""whatsapp_reminder"": 0.17845259606838226}","{""escalate_to_merchant"": 0.14471180737018585, ""payment_link"": 0.17536847293376923, ""retry_payment"": 0.185282364487648, ""whatsapp_reminder"": 0.19851699471473694}",False
pay_TTzrI56LOYxOqB,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.01478189,0.01320790,,False,"{""escalate_to_merchant"": 0.12295560538768768, ""payment_link"": 0.16001704335212708, ""retry_payment"": 0.16162094473838806, ""whatsapp_reminder"": 0.17640283703804016}","{""escalate_to_merchant"": 0.13943250477313995, ""payment_link"": 0.1769980490207672, ""retry_payment"": 0.1847870945930481, ""whatsapp_reminder"": 0.19799499213695526}",False
pay_TTzrfniPmsoCOc,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.01616628,0.01652980,,False,"{""escalate_to_merchant"": 0.1227707639336586, ""payment_link"": 0.17966587841510773, ""retry_payment"": 0.18142421543598175, ""whatsapp_reminder"": 0.19759050011634827}","{""escalate_to_merchant"": 0.17119289934635162, ""payment_link"": 0.24743211269378662, ""retry_payment"": 0.254397451877594, ""whatsapp_reminder"": 0.2709272503852844}",False
pay_TTzsBGJmxDJpi2,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.01285154,0.01593409,,False,"{""escalate_to_merchant"": 0.10952001810073853, ""payment_link"": 0.18157623708248138, ""retry_payment"": 0.17846287786960602, ""whatsapp_reminder"": 0.19442777335643768}","{""escalate_to_merchant"": 0.1184387356042862, ""payment_link"": 0.19694870710372925, ""retry_payment"": 0.1990019828081131, ""whatsapp_reminder"": 0.21493607759475708}",False
pay_TTzsnvTRNmprU6,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.01313202,0.01134284,,False,"{""escalate_to_merchant"": 0.11297004669904709, ""payment_link"": 0.1868198812007904, ""retry_payment"": 0.18363681435585022, ""whatsapp_reminder"": 0.1999519020318985}","{""escalate_to_merchant"": 0.11469556391239166, ""payment_link"": 0.19752302765846252, ""retry_payment"": 0.19327092170715332, ""whatsapp_reminder"": 0.20886586606502533}",False
pay_TTzuLw11Wl28Cb,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.01178265,0.01572843,,False,"{""escalate_to_merchant"": 0.11960171908140182, ""payment_link"": 0.2624896168708801, ""retry_payment"": 0.2507069706916809, ""whatsapp_reminder"": 0.2446318417787552}","{""escalate_to_merchant"": 0.10418813675642014, ""payment_link"": 0.20153853297233582, ""retry_payment"": 0.1970961093902588, ""whatsapp_reminder"": 0.2172669619321823}",False
pay_TTzuvw8lrLFQQk,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.00986990,0.01110947,,False,"{""escalate_to_merchant"": 0.11348465830087662, ""payment_link"": 0.25066009163856506, ""retry_payment"": 0.2359839379787445, ""whatsapp_reminder"": 0.24079018831253052}","{""escalate_to_merchant"": 0.14142383635044098, ""payment_link"": 0.3129379153251648, ""retry_payment"": 0.2914601266384125, ""whatsapp_reminder"": 0.32404738664627075}",False
pay_TTzvElq9pegpF7,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.01125821,0.01943332,,False,"{""escalate_to_merchant"": 0.22762352228164673, ""payment_link"": 0.39010652899742126, ""retry_payment"": 0.37771978974342346, ""whatsapp_reminder"": 0.3788483142852783}","{""escalate_to_merchant"": 0.33119696378707886, ""payment_link"": 0.4490918815135956, ""retry_payment"": 0.4379788041114807, ""whatsapp_reminder"": 0.4685252010822296}",False
pay_TTzveoLeMJ1uLJ,payment_failed,unknown,0.66666667,False,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,escalate_to_merchant,True,0.03563276,0.05452031,,False,"{""escalate_to_merchant"": 0.25919392704963684, ""payment_link"": 0.5016638040542603, ""retry_payment"": 0.4660310447216034, ""whatsapp_reminder"": 0.43777355551719666}","{""escalate_to_merchant"": 0.32076361775398254, ""payment_link"": 0.5345337986946106, ""retry_payment"": 0.47735878825187683, ""whatsapp_reminder"": 0.48001348972320557}",False
