payment_id,customer_id,recovered,amount_inr,amount_recovered,intervention_count,intervention_cost,terminal_state,stopped_reason,fraud_flag,customer_opted_out,contact_available,state_history
TXN0000052804,C006608,1,2137,2137,1,1.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000179482,C001992,0,1201,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000170868,C007195,0,35,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000239488,C005520,1,589,589,1,1.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000021257,C002908,1,172,172,1,0.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000145269,C000023,0,167,0,1,1.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000181411,C007252,1,5778,5778,2,11.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000029557,C003698,1,552,552,1,10.00000000,recovered,,0,False,False,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000018440,C004676,0,824,0,2,11.00000000,stopped,"recent_intervention_limit_requires_escalation,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000231148,C000062,1,319,319,1,1.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000027707,C009053,0,95,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000095845,C006793,1,2880,2880,1,10.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000040953,C009727,0,636,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000246834,C009422,0,211,0,1,1.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000201314,C006992,0,75,0,1,0.75000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000243507,C001496,1,279,279,1,0.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000031139,C009462,1,904,904,1,1.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000114122,C003718,0,412,0,1,1.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000150048,C002256,0,429,0,1,0.75000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000215167,C002628,0,6293,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000101400,C001906,1,490,490,1,25.00000000,recovered,,0,False,False,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000149232,C001692,0,124,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,False,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000044419,C007539,0,39,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,False,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000020920,C002974,1,3253,3253,2,10.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000222252,C005353,1,118,118,1,1.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000145130,C006562,0,1593,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000214915,C000026,0,71,0,1,1.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000073672,C004585,0,1198,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000052587,C005243,0,392,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,False,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000201805,C006926,1,1692,1692,1,10.00000000,recovered,,0,False,False,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000104374,C001586,0,9747,0,0,0.00000000,stopped,customer_opted_out,0,True,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000010302,C006888,1,778,778,1,0.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000053376,C000528,1,2708,2708,2,11.00000000,recovered,,0,False,False,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000035278,C002802,0,283,0,1,1.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000193304,C008216,0,108,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000056420,C007184,0,286,0,2,11.00000000,stopped,"recent_intervention_limit_requires_escalation,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000222246,C007686,0,196,0,1,1.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000108622,C008955,0,119,0,1,1.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000104777,C007227,1,2929,2929,1,25.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000236939,C003820,1,201,201,1,0.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000068932,C000343,1,555,555,1,25.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000122582,C003502,0,357,0,1,10.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,False,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000054056,C004339,1,441,441,1,1.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000056581,C006897,1,6338,6338,1,25.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000140441,C002607,0,300,0,2,10.75000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000201737,C009719,1,602,602,1,10.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000155503,C004978,1,5622,5622,1,10.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000014480,C003183,1,58,58,2,10.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000191292,C004807,0,288,0,1,0.75000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000071205,C006458,1,1698,1698,1,1.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000180168,C001004,0,103,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000183443,C002328,1,82,82,1,1.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000142917,C007005,1,684,684,1,25.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000189447,C005764,0,152,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,False,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000224199,C004044,1,1275,1275,1,0.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000025621,C000651,1,884,884,1,10.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000095177,C001518,1,317,317,2,10.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000009116,C008089,0,1898,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000171793,C009255,1,208,208,1,0.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000060492,C005253,0,340,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000081660,C005352,1,5092,5092,1,10.00000000,recovered,,0,False,False,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000119409,C000640,1,1178,1178,2,10.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000050027,C003084,0,38,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000186272,C006677,0,308,0,1,0.75000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000170195,C003604,0,949,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000003749,C001280,1,549,549,1,10.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000153955,C000976,0,160,0,1,1.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000143933,C008612,1,71,71,1,25.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000131914,C003606,0,818,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000205318,C008714,1,1008,1008,1,25.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000022077,C004740,1,5024,5024,1,10.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000246411,C000493,0,1192,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000188919,C003992,0,6565,0,2,10.75000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000178856,C004263,0,2598,0,1,1.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000204306,C006998,0,4571,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000080518,C009391,1,267,267,1,1.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000227176,C002230,0,1051,0,1,25.00000000,escalated,manual_escalation_completed,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""escalated""]"
TXN0000160806,C009874,1,359,359,1,25.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000014441,C009336,1,6636,6636,2,11.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000137478,C000298,0,277,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,False,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000037696,C006756,1,1468,1468,1,10.00000000,recovered,,0,False,False,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000040072,C005335,0,292,0,1,0.75000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000090438,C001369,1,243,243,1,1.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000038527,C000261,1,1943,1943,1,0.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000069545,C005507,0,1495,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000222160,C005505,0,476,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000228665,C005114,0,1054,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000100747,C006127,1,489,489,1,10.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000108582,C006895,0,2831,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000141712,C001711,1,601,601,1,0.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000133743,C006001,1,1137,1137,2,10.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000131788,C003593,0,613,0,2,10.75000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000085087,C004600,1,366,366,1,0.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000161299,C009806,1,1330,1330,1,10.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000162462,C000318,0,162,0,2,11.00000000,stopped,"recent_intervention_limit_requires_escalation,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000080502,C005902,0,316,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000063186,C008495,1,151,151,1,1.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000047079,C003412,1,130,130,1,0.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000224962,C005434,1,454,454,1,0.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000071788,C007715,1,482,482,1,0.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000036830,C006129,1,1764,1764,2,10.75000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000153152,C002015,0,296,0,1,0.75000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000097635,C009187,0,33,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000139245,C000824,1,599,599,1,1.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000116974,C004375,0,770,0,2,11.00000000,stopped,"recent_intervention_limit_requires_escalation,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000059003,C008727,0,661,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000091263,C006875,0,1018,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,False,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000194064,C009056,1,288,288,1,1.00000000,recovered,,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000156130,C006231,0,1372,0,0,0.00000000,stopped,customer_opted_out,0,True,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
TXN0000137189,C008773,0,282,0,1,1.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""failed"", ""next_action"", ""diagnosed"", ""stopped""]"
TXN0000111056,C000014,1,2091,2091,1,1.00000000,recovered,,0,False,False,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""recovered""]"
TXN0000160426,C002783,0,2810,0,1,25.00000000,escalated,manual_escalation_completed,0,False,True,"[""at_risk"", ""diagnosed"", ""action_selected"", ""action_executed"", ""escalated""]"
TXN0000094540,C009094,0,864,0,0,0.00000000,stopped,"no_eligible_positive_value_action,failure_matrix:block",0,False,True,"[""at_risk"", ""diagnosed"", ""stopped""]"
