payment_id,customer_id,decision_number,decision_type,selected_action,failure_class,reasons,probabilities,expected_values,fallback_used,risk_checks_passed,policy_version,dry_run
TXN0000052804,C006608,1,fallback,retry_payment,technical_retryable,"[""decision_uncertain"", ""expected_value_margin:13.413541913032532"", ""probability_margin:0.01002037525177002""]","{""escalate_to_merchant"": 0.46447006, ""payment_link"": 0.65625602, ""retry_payment"": 0.64623564, ""whatsapp_reminder"": 0.67568791}","{""escalate_to_merchant"": 967.57, ""payment_link"": 1391.42, ""retry_payment"": 1378.01, ""whatsapp_reminder"": 1435.2}",True,True,recovery_policy_v3,True
TXN0000179482,C001992,1,stop,,customer_decline,"[""no_eligible_positive_value_action"", ""failure_matrix:block""]","{""escalate_to_merchant"": 0.40030923, ""payment_link"": 0.61100721, ""retry_payment"": 0.5600822, ""whatsapp_reminder"": 0.59269494}","{""escalate_to_merchant"": 455.77, ""payment_link"": 722.82, ""retry_payment"": 669.66, ""whatsapp_reminder"": 703.08}",False,False,recovery_policy_v3,True
TXN0000170868,C007195,1,stop,,technical_retryable,"[""no_eligible_positive_value_action"", ""failure_matrix:block""]","{""escalate_to_merchant"": 0.5169822, ""payment_link"": 0.65679872, ""retry_payment"": 0.61760539, ""whatsapp_reminder"": 0.63277668}","{""escalate_to_merchant"": -6.91, ""payment_link"": 11.99, ""retry_payment"": 18.62, ""whatsapp_reminder"": 13.4}",False,False,recovery_policy_v3,True
TXN0000239488,C005520,1,fallback,retry_payment,technical_retryable,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None""]","{""escalate_to_merchant"": 0.33874825, ""payment_link"": 0.50398922, ""retry_payment"": 0.4554086, ""whatsapp_reminder"": 0.49913424}","{""escalate_to_merchant"": 174.52, ""payment_link"": 285.85, ""retry_payment"": 265.24, ""whatsapp_reminder"": 285.24}",True,True,recovery_policy_v3,True
TXN0000021257,C002908,1,fallback,whatsapp_reminder,customer_decline,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None""]","{""escalate_to_merchant"": 0.43576971, ""payment_link"": 0.59014595, ""retry_payment"": 0.55667549, ""whatsapp_reminder"": 0.57079011}","{""escalate_to_merchant"": 49.95, ""payment_link"": 90.51, ""retry_payment"": 92.75, ""whatsapp_reminder"": 89.43}",True,True,recovery_policy_v3,True
TXN0000145269,C000023,1,fallback,retry_payment,technical_retryable,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None""]","{""escalate_to_merchant"": 0.49089533, ""payment_link"": 0.6182484, ""retry_payment"": 0.58043706, ""whatsapp_reminder"": 0.6308949}","{""escalate_to_merchant"": 56.98, ""payment_link"": 92.25, ""retry_payment"": 93.93, ""whatsapp_reminder"": 96.61}",True,True,recovery_policy_v3,True
TXN0000145269,C000023,2,stop,,technical_retryable,"[""no_eligible_positive_value_action"", ""failure_matrix:block""]","{""escalate_to_merchant"": 0.49089533, ""payment_link"": 0.6182484, ""retry_payment"": 0.58043706, ""whatsapp_reminder"": 0.6308949}","{""escalate_to_merchant"": 56.98, ""payment_link"": 92.25, ""retry_payment"": 88.93, ""whatsapp_reminder"": 96.61}",False,False,recovery_policy_v3,True
TXN0000181411,C007252,1,allow,payment_link,technical_retryable,"[""eligible"", ""contextually_supported_or_manual"", ""highest_risk_adjusted_expected_value"", ""expected_value_margin:240.52"", ""probability_margin:0.04301196""]","{""escalate_to_merchant"": 0.32540646, ""payment_link"": 0.56293577, ""retry_payment"": 0.51992381, ""whatsapp_reminder"": 0.54825085}","{""escalate_to_merchant"": 1855.2, ""payment_link"": 3241.64, ""retry_payment"": 3001.12, ""whatsapp_reminder"": 3159.04}",False,True,recovery_policy_v3,True
TXN0000181411,C007252,2,fallback,retry_payment,technical_retryable,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None""]","{""escalate_to_merchant"": 0.32540646, ""payment_link"": 0.56293577, ""retry_payment"": 0.51992381, ""whatsapp_reminder"": 0.54825085}","{""escalate_to_merchant"": 1855.2, ""payment_link"": 3236.64, ""retry_payment"": 3001.12, ""whatsapp_reminder"": 3159.04}",True,True,recovery_policy_v3,True
TXN0000029557,C003698,1,fallback,payment_link,authentication_required,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None""]","{""escalate_to_merchant"": 0.37916863, ""payment_link"": 0.5302217, ""retry_payment"": 0.48003733, ""whatsapp_reminder"": 0.4907262}","{""escalate_to_merchant"": 184.3, ""payment_link"": 281.68, ""retry_payment"": 261.98, ""whatsapp_reminder"": 262.13}",True,True,recovery_policy_v3,True
