payment_id,customer_id,prediction_time,logged_action,logging_probability,logged_recovered,base_policy_intervention,fraud_flag,raw_best_action,selected_action,selected_probability,decision_margin,fallback_used,decision_reason,selected_action_supported,candidate_actions,predicted_retry_payment_probability,retry_payment_support_count,retry_payment_support_ess,retry_payment_supported,predicted_payment_link_probability,payment_link_support_count,payment_link_support_ess,payment_link_supported,predicted_whatsapp_reminder_probability,whatsapp_reminder_support_count,whatsapp_reminder_support_ess,whatsapp_reminder_supported,predicted_escalate_to_merchant_probability,escalate_to_merchant_support_count,escalate_to_merchant_support_ess,escalate_to_merchant_supported
TXN0000052804,C006608,2024-11-05 22:28:08,retry_payment,0.90000000,1,retry_payment,0,whatsapp_reminder,whatsapp_reminder,0.67568791,0.01943189,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 196, ""effective_sample_size"": 56.61961283, ""probability"": 0.46447006, ""supported"": true}, ""payment_link"": {""action_count"": 625, ""effective_sample_size"": 91.91881191, ""probability"": 0.65625602, ""supported"": true}, ""retry_payment"": {""action_count"": 387, ""effective_sample_size"": 66.60326136, ""probability"": 0.64623564, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 50, ""effective_sample_size"": 36.09870729, ""probability"": 0.67568791, ""supported"": true}}",0.64623564,387,66.60326136,True,0.65625602,625,91.91881191,True,0.67568791,50,36.09870729,True,0.46447006,196,56.61961283,True
TXN0000179482,C001992,2024-11-05 22:40:55,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,payment_link,escalate_to_merchant,0.40030923,,True,no_supported_candidate_safety_fallback,False,"{""escalate_to_merchant"": {""action_count"": 11, ""effective_sample_size"": 2.7055214, ""probability"": 0.40030923, ""supported"": false}, ""payment_link"": {""action_count"": 8, ""effective_sample_size"": 4.29589038, ""probability"": 0.61100721, ""supported"": false}, ""retry_payment"": {""action_count"": 49, ""effective_sample_size"": 7.2393814, ""probability"": 0.5600822, ""supported"": false}, ""whatsapp_reminder"": {""action_count"": 23, ""effective_sample_size"": 3.80324523, ""probability"": 0.59269494, ""supported"": false}}",0.56008220,49,7.23938140,False,0.61100721,8,4.29589038,False,0.59269494,23,3.80324523,False,0.40030923,11,2.70552140,False
TXN0000170868,C007195,2024-11-05 22:49:41,retry_payment,0.90000000,1,retry_payment,0,payment_link,payment_link,0.65679872,0.02402204,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 685, ""effective_sample_size"": 101.1676816, ""probability"": 0.5169822, ""supported"": true}, ""payment_link"": {""action_count"": 55, ""effective_sample_size"": 50.36414754, ""probability"": 0.65679872, ""supported"": true}, ""retry_payment"": {""action_count"": 382, ""effective_sample_size"": 61.49646714, ""probability"": 0.61760539, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 122, ""effective_sample_size"": 42.51287438, ""probability"": 0.63277668, ""supported"": true}}",0.61760539,382,61.49646714,True,0.65679872,55,50.36414754,True,0.63277668,122,42.51287438,True,0.51698220,685,101.16768160,True
TXN0000239488,C005520,2024-11-06 03:38:43,escalate_to_merchant,0.90000000,1,escalate_to_merchant,0,payment_link,whatsapp_reminder,0.49913424,0.04372564,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 211, ""effective_sample_size"": 29.09046962, ""probability"": 0.33874825, ""supported"": true}, ""payment_link"": {""action_count"": 17, ""effective_sample_size"": 16.07278182, ""probability"": 0.50398922, ""supported"": false}, ""retry_payment"": {""action_count"": 172, ""effective_sample_size"": 27.72056966, ""probability"": 0.4554086, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 66, ""effective_sample_size"": 18.92736169, ""probability"": 0.49913424, ""supported"": true}}",0.45540860,172,27.72056966,True,0.50398922,17,16.07278182,False,0.49913424,66,18.92736169,True,0.33874825,211,29.09046962,True
TXN0000021257,C002908,2024-11-06 06:26:00,retry_payment,0.90000000,0,retry_payment,0,payment_link,retry_payment,0.55667549,0.01411462,True,insufficient_probability_margin,True,"{""escalate_to_merchant"": {""action_count"": 237, ""effective_sample_size"": 33.53941007, ""probability"": 0.43576971, ""supported"": true}, ""payment_link"": {""action_count"": 9, ""effective_sample_size"": 9.0, ""probability"": 0.59014595, ""supported"": false}, ""retry_payment"": {""action_count"": 126, ""effective_sample_size"": 18.74890631, ""probability"": 0.55667549, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 73, ""effective_sample_size"": 15.08078281, ""probability"": 0.57079011, ""supported"": true}}",0.55667549,126,18.74890631,True,0.59014595,9,9.00000000,False,0.57079011,73,15.08078281,True,0.43576971,237,33.53941007,True
TXN0000145269,C000023,2024-11-06 07:09:51,retry_payment,0.90000000,0,retry_payment,0,whatsapp_reminder,retry_payment,0.58043706,0.08954173,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 93, ""effective_sample_size"": 13.89845234, ""probability"": 0.49089533, ""supported"": true}, ""payment_link"": {""action_count"": 1, ""effective_sample_size"": 1.0, ""probability"": 0.6182484, ""supported"": false}, ""retry_payment"": {""action_count"": 60, ""effective_sample_size"": 8.27440554, ""probability"": 0.58043706, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 46, ""effective_sample_size"": 6.69767366, ""probability"": 0.6308949, ""supported"": false}}",0.58043706,60,8.27440554,True,0.61824840,1,1.00000000,False,0.63089490,46,6.69767366,False,0.49089533,93,13.89845234,True
TXN0000181411,C007252,2024-11-06 07:10:50,payment_link,0.90000000,0,payment_link,0,payment_link,retry_payment,0.51992381,0.01468492,True,insufficient_probability_margin,True,"{""escalate_to_merchant"": {""action_count"": 196, ""effective_sample_size"": 56.61961283, ""probability"": 0.32540646, ""supported"": true}, ""payment_link"": {""action_count"": 625, ""effective_sample_size"": 91.91881191, ""probability"": 0.56293577, ""supported"": true}, ""retry_payment"": {""action_count"": 387, ""effective_sample_size"": 66.60326136, ""probability"": 0.51992381, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 50, ""effective_sample_size"": 36.09870729, ""probability"": 0.54825085, ""supported"": true}}",0.51992381,387,66.60326136,True,0.56293577,625,91.91881191,True,0.54825085,50,36.09870729,True,0.32540646,196,56.61961283,True
TXN0000029557,C003698,2024-11-06 08:54:30,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,payment_link,payment_link,0.53022170,0.03949550,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 694, ""effective_sample_size"": 97.85794, ""probability"": 0.37916863, ""supported"": true}, ""payment_link"": {""action_count"": 85, ""effective_sample_size"": 37.80492775, ""probability"": 0.5302217, ""supported"": true}, ""retry_payment"": {""action_count"": 359, ""effective_sample_size"": 56.24386377, ""probability"": 0.48003733, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 126, ""effective_sample_size"": 41.91580028, ""probability"": 0.4907262, ""supported"": true}}",0.48003733,359,56.24386377,True,0.53022170,85,37.80492775,True,0.49072620,126,41.91580028,True,0.37916863,694,97.85794000,True
TXN0000018440,C004676,2024-11-06 10:06:38,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,whatsapp_reminder,retry_payment,0.62659180,0.00832361,True,insufficient_probability_margin,True,"{""escalate_to_merchant"": {""action_count"": 213, ""effective_sample_size"": 29.38877094, ""probability"": 0.48987204, ""supported"": true}, ""payment_link"": {""action_count"": 55, ""effective_sample_size"": 23.54174517, ""probability"": 0.65083861, ""supported"": true}, ""retry_payment"": {""action_count"": 134, ""effective_sample_size"": 25.67475706, ""probability"": 0.6265918, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 69, ""effective_sample_size"": 17.37637634, ""probability"": 0.65916222, ""supported"": true}}",0.62659180,134,25.67475706,True,0.65083861,55,23.54174517,True,0.65916222,69,17.37637634,True,0.48987204,213,29.38877094,True
TXN0000231148,C000062,2024-11-06 10:10:34,escalate_to_merchant,0.90000000,1,escalate_to_merchant,0,whatsapp_reminder,whatsapp_reminder,0.57286555,0.03942680,False,highest_supported_probability,True,"{""escalate_to_merchant"": {""action_count"": 211, ""effective_sample_size"": 29.09046962, ""probability"": 0.40055299, ""supported"": true}, ""payment_link"": {""action_count"": 17, ""effective_sample_size"": 16.07278182, ""probability"": 0.53882819, ""supported"": false}, ""retry_payment"": {""action_count"": 172, ""effective_sample_size"": 27.72056966, ""probability"": 0.53343874, ""supported"": true}, ""whatsapp_reminder"": {""action_count"": 66, ""effective_sample_size"": 18.92736169, ""probability"": 0.57286555, ""supported"": true}}",0.53343874,172,27.72056966,True,0.53882819,17,16.07278182,False,0.57286555,66,18.92736169,True,0.40055299,211,29.09046962,True
